Region,Average_Unemployment_Rate,Average_Employed,Average_Labour_Participation,Observations
Tripura,28.350357142857142,717002.6428571428,61.82392857142857,28
Haryana,26.283214285714283,3557072.464285714,42.737142857142864,28
Jharkhand,20.585,4469240.428571428,41.67071428571428,28
Bihar,18.91821428571429,12366189.142857144,38.15392857142857,28
Himachal Pradesh,18.540357142857143,1059823.7142857143,44.222142857142856,28
Delhi,16.49535714285714,2627512.8571428573,38.92964285714286,28
Jammu & Kashmir,16.18857142857143,1799931.6666666667,41.03095238095238,21
Chandigarh,15.991666666666667,316831.25,39.336666666666666,12
Rajasthan,14.058214285714286,10041064.75,39.973214285714285,28
Uttar Pradesh,12.551428571428572,28094832.17857143,39.432500000000005,28
Punjab,12.031071428571428,4539362.0,41.138214285714284,28
Puducherry,10.215000000000002,212278.07692307694,38.99269230769231,26
Kerala,10.12392857142857,4425899.5,34.86785714285714,28
Tamil Nadu,9.284285714285714,12269546.75,40.87214285714286,28
Goa,9.274166666666666,226308.33333333334,39.249583333333334,24
Chhattisgarh,9.240357142857144,4303498.571428572,42.81071428571429,28
West Bengal,8.124642857142858,17198538.0,45.417500000000004,28
Telangana,7.737857142857143,7939662.75,53.0025,28
Maharashtra,7.5575,19990195.85714286,42.30321428571428,28
Andhra Pradesh,7.477142857142857,8154093.178571428,39.37571428571429,28
Madhya Pradesh,7.406428571428571,11115484.32142857,38.82142857142857,28
Sikkim,7.249411764705882,106880.70588235294,46.07,17
Karnataka,6.676071428571428,10667119.285714285,41.34535714285715,28
Gujarat,6.663928571428571,11402012.785714285,46.10107142857142,28
Uttarakhand,6.582962962962963,1390228.111111111,33.775555555555556,27
Assam,6.428076923076923,5354772.153846154,44.86846153846154,26
Odisha,5.657857142857142,6545746.964285715,38.92642857142857,28
Meghalaya,4.7988888888888885,689736.8148148148,57.080740740740744,27
